2015-02-11 17:30:39: ----- Tarea 'Sincronizar Proyecto UTP PE': ANÁLISIS comenzado por Analyze And Sync All en ordenador 'VICTOR-VAIO' (GoodSync v 8.9.9.9) -----
2015-02-11 17:30:39: C:\PLC =PropDels=> ~VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo (C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo), CopyCreateTime
2015-02-11 17:30:40: izquierda: Archivos: 7,440 (excluidos 0). Carpetas: 700 (excluidas 1). C: NTFS, Libre: 23.2 GB, Total: 216 GB
2015-02-11 17:30:41: derecha: Archivos: 6,860 (excluidos 7). Carpetas: 700 (excluidas 1). C: NTFS, Libre: 23.2 GB, Total: 216 GB
2015-02-11 17:30:41: Cambios: 730, Conflictos: 0, TiempoCopia: 0, EstadoCopia: 0/0, Errores: 0
2015-02-11 17:30:41: Left to Right: Copy File: 730 
2015-02-11 17:30:41: ----- Análisis Completado. Tiempo 00:00:02, Velocidad: 4,074 archivo/s -----
2015-02-11 17:30:41: ===== Tarea 'Sincronizar Proyecto UTP PE': SINC comenzada por Analyze And Sync All en ordenador 'VICTOR-VAIO' =====
2015-02-11 17:30:41: C:\PLC =PropDels=> ~VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo (C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo), CopyCreateTime
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\01\2e52b61635e9767fc9ebd22392de7434e02fef' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\01\2e52b61635e9767fc9ebd22392de7434e02fef'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\01\508bbf651f28cdd22a9923ea64dcc447ed3de2' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\01\508bbf651f28cdd22a9923ea64dcc447ed3de2'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\01\5ac3f9176a3b82535ae6e09f78074361c3a4ab' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\01\5ac3f9176a3b82535ae6e09f78074361c3a4ab'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\01\5eb5737929b09c2a48acb8206cd379f8e0fcd4' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\01\5eb5737929b09c2a48acb8206cd379f8e0fcd4'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\01\6df19f587369a5ba6bd4087b278555a98eda33' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\01\6df19f587369a5ba6bd4087b278555a98eda33'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\02\0d1903fb6ad5c60daef55f110cc7aba9a44aab' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\02\0d1903fb6ad5c60daef55f110cc7aba9a44aab'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\04\387631f50132003dfe0a21ae268f4f4f64fd56' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\04\387631f50132003dfe0a21ae268f4f4f64fd56'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\04\7294d03e7ddbef9b7b8e70fff50922d4ac669e' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\04\7294d03e7ddbef9b7b8e70fff50922d4ac669e'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\04\decd4f4ddd035cfada9a0588f5ad3c4c8f9be4' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\04\decd4f4ddd035cfada9a0588f5ad3c4c8f9be4'
2015-02-11 17:30:41: Copiar Nueva 'C:\PLC\.git\objects\04\e2c8d568d8308d49eebf64bb6a67b2bf630e7e' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\04\e2c8d568d8308d49eebf64bb6a67b2bf630e7e'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\06\ac4deae768012d9a9e6f900ca7ea9cf7839ccf' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\06\ac4deae768012d9a9e6f900ca7ea9cf7839ccf'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\07\22e10d1541b0073a70db46008512d543ffef34' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\07\22e10d1541b0073a70db46008512d543ffef34'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\08\cfc2ad8227dfad77d5a8a624c6ca3e346f3fdc' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\08\cfc2ad8227dfad77d5a8a624c6ca3e346f3fdc'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\09\2c7992ff7c5268f9faabb9459c2253486b8ac3' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\09\2c7992ff7c5268f9faabb9459c2253486b8ac3'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\09\939144566169ab6266f0dfc6092344e23e5126' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\09\939144566169ab6266f0dfc6092344e23e5126'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0a\e1fee2c326b0525ea889335def151ed2ae9593' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0a\e1fee2c326b0525ea889335def151ed2ae9593'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0b\e64ee197a01f22d797e70251ea383f0f0fdeff' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0b\e64ee197a01f22d797e70251ea383f0f0fdeff'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0c\2449c536ed9db440c2ada7070ff86fd0e2d04e' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0c\2449c536ed9db440c2ada7070ff86fd0e2d04e'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0c\262bc028570903d8476474edd8a76dcab9589c' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0c\262bc028570903d8476474edd8a76dcab9589c'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0c\89d4ece1608f3758d00c278d024b1b29c456ac' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0c\89d4ece1608f3758d00c278d024b1b29c456ac'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\0d55cae8461a28d9a50b7d07fd92a3ecb8c479' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\0d55cae8461a28d9a50b7d07fd92a3ecb8c479'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\0ed4e62c284c1b04078af01528f72249ff48f7' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\0ed4e62c284c1b04078af01528f72249ff48f7'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\3c50a8e7d8fdf01bb130cf4d484c76f09023bb' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\3c50a8e7d8fdf01bb130cf4d484c76f09023bb'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\47d64c0f12162b47c77c87e77bd283a5e4d64d' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\47d64c0f12162b47c77c87e77bd283a5e4d64d'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\50dd3c39c46de840104728c56041a09d82ee21' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\50dd3c39c46de840104728c56041a09d82ee21'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\9abb46666803b94bdbd9d1aaec50f2c3214519' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\9abb46666803b94bdbd9d1aaec50f2c3214519'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0d\b16065bb02ab89c529219f0dfed59cb65beb51' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0d\b16065bb02ab89c529219f0dfed59cb65beb51'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0e\62e2d16a93ec6934db8e2771d990928984403a' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0e\62e2d16a93ec6934db8e2771d990928984403a'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0f\49de1a50eb27c9e23ba5bc366350f8d611cfaf' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0f\49de1a50eb27c9e23ba5bc366350f8d611cfaf'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0f\4e0b700863db471b92d1be7fe200b6e4b9ea6b' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0f\4e0b700863db471b92d1be7fe200b6e4b9ea6b'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\0f\cc1fc07ff278c9cc93af4ca1a30c16e1f70519' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\0f\cc1fc07ff278c9cc93af4ca1a30c16e1f70519'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\10\5ad5e147ba12b274c1a9e18e34002265fc4048' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\10\5ad5e147ba12b274c1a9e18e34002265fc4048'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\10\a206ffd28428f28b8d305b62ac7f0433facd96' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\10\a206ffd28428f28b8d305b62ac7f0433facd96'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\11\14f92bf54f7987ceffaa13e7317bf15a1f9145' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\11\14f92bf54f7987ceffaa13e7317bf15a1f9145'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\11\6bb62b28ec31818343f9ed09311d7fda48c764' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\11\6bb62b28ec31818343f9ed09311d7fda48c764'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\11\c60dbda0b36bbe03bf6d1052e8059701e83c1c' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\11\c60dbda0b36bbe03bf6d1052e8059701e83c1c'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\11\d655822a50c35d28bf73e686b6a334ffa79cb2' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\11\d655822a50c35d28bf73e686b6a334ffa79cb2'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\12\43480424d99fdd8fe15344a7ca9c20caabdfd1' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\12\43480424d99fdd8fe15344a7ca9c20caabdfd1'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\12\55f3027c8cc972d1d59f85fc4b7e3f562ff2c3' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\12\55f3027c8cc972d1d59f85fc4b7e3f562ff2c3'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\14\155d20a458697edd790c37d64dabac9796c99f' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\14\155d20a458697edd790c37d64dabac9796c99f'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\14\3c8aa76420d228bbd518b40a7fba1c19d14cac' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\14\3c8aa76420d228bbd518b40a7fba1c19d14cac'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\15\8e2a74456c3e914058dcfe181d67d5516831fc' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\15\8e2a74456c3e914058dcfe181d67d5516831fc'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\16\58ae04e7f7565c0fe630cfb8ee2f7ad1080be1' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\16\58ae04e7f7565c0fe630cfb8ee2f7ad1080be1'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\16\8871fa6ef3569943d83428005d91bfb1e26df0' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\16\8871fa6ef3569943d83428005d91bfb1e26df0'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\17\13e1efc9f554b38962f6ec297763ebb147daf9' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\17\13e1efc9f554b38962f6ec297763ebb147daf9'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\17\1943d8efe18c0415572d3e6e6fe91334ed09f5' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\17\1943d8efe18c0415572d3e6e6fe91334ed09f5'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\03a5de0be51557d53cdfdcbeed267c052d5dfe' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\03a5de0be51557d53cdfdcbeed267c052d5dfe'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\0442d88d0808cdbfd6faa92ab99bd99054bec3' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\0442d88d0808cdbfd6faa92ab99bd99054bec3'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\1d56e3ee7dc9163c68d26bad224e42e2e9296f' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\1d56e3ee7dc9163c68d26bad224e42e2e9296f'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\2346e4b316b24adbcc39a55e2bc14de3fa61dc' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\2346e4b316b24adbcc39a55e2bc14de3fa61dc'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\488098d07aded0179e7d849ceee2183d7e37e6' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\488098d07aded0179e7d849ceee2183d7e37e6'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\18\60ae494706585c3e8bcdd926e7473164942264' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\18\60ae494706585c3e8bcdd926e7473164942264'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\19\f628bc6dc938c7e5e5f307b3be84821aa54708' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\19\f628bc6dc938c7e5e5f307b3be84821aa54708'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\1a\524135b7e7c6480c8d6362f241bf8b36b5f405' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\1a\524135b7e7c6480c8d6362f241bf8b36b5f405'
2015-02-11 17:30:42: Copiar Nueva 'C:\PLC\.git\objects\1a\7449b55cbffb2bd3314210ccab940b77daf698' -> 'C:\Users\VictorCanal\SkyDrive\Documentos\CriteriaIT\CIT-Operaciones\Proyectos\UTP\Portal de Empleabilidad\03. Construcción\Prototipo\UTPPrototipo\.git\objects\1a\7449b55cbffb2bd3314210ccab940b77daf698'
